Order_ID,Order_Date,Customer_Name,Product_Category,Product_Name,Region,State,Country,Sales_Channel,Quantity,Unit_Price,Discount_%,Total_Sales,Cost,Profit
ORD100000,2023-04-25,Allison Hill,Laptop,HP Pavilion,East,Maharashtra,India,Online,5,9606.94,15,40829.5,29202.49,11627.01
ORD100001,2023-04-06,Noah Rhodes,Accessory,Apple AirPods,North,West Bengal,India,Online,2,45471.7,10,81849.06,72969.13,8879.93
ORD100002,2023-01-07,Angie Henderson,Phone,OnePlus 11,International,,UK,Offline,2,22316.06,10,40168.91,27919.74,12249.17
ORD100003,2024-01-25,Daniel Wagner,Laptop,Asus Vivobook,East,West Bengal,India,Offline,5,13357.79,15,56770.61,41389.12,15381.49
ORD100004,2023-10-28,Cristian Santos,Accessory,JBL Headphones,International,,Australia,Offline,1,5536.61,5,5259.78,4392.01,867.77
ORD100005,2023-03-23,Connie Lawrence,Phone,Google Pixel 7,International,,USA,Offline,3,17102.76,10,46177.45,33472.33,12705.12
ORD100006,2023-10-01,Abigail Shaffer,Accessory,JBL Headphones,International,,Singapore,Online,5,73183.55,5,347621.86,261837.95,85783.91
ORD100007,2023-10-04,Gina Moore,Accessory,Samsung Charger,International,,Singapore,Online,1,23675.76,0,23675.76,18970.47,4705.29
ORD100008,2024-02-15,Gabrielle Davis,Laptop,Asus Vivobook,South,West Bengal,India,Offline,4,88583.63,15,301184.34,225256.8,75927.55
ORD100009,2023-05-23,Ryan Munoz,Accessory,Apple AirPods,East,Gujarat,India,Offline,3,22712.76,5,64731.37,49562.53,15168.84
ORD100010,2023-04-04,Monica Herrera,Accessory,JBL Headphones,International,,USA,Online,4,60044.49,15,204151.27,167020.91,37130.35
ORD100011,2024-04-24,Jamie Arnold,Accessory,Samsung Charger,North,Gujarat,India,Online,3,12043.67,15,30711.36,23107.21,7604.15
ORD100012,2023-01-04,Lisa Hensley,Accessory,JBL Headphones,International,,Singapore,Offline,5,91350.16,10,411075.72,370158.77,40916.95
ORD100013,2024-06-03,Michele Williams,Laptop,HP Pavilion,International,,UK,Offline,5,33091.45,0,165457.25,103901.68,61555.57
ORD100014,2024-01-07,Dylan Miller,Laptop,Dell Inspiron,International,,Germany,Online,5,94748.0,0,473740.0,370927.48,102812.52
ORD100015,2023-03-12,Brian Ramirez,Laptop,Asus Vivobook,International,,Australia,Online,5,17347.57,20,69390.28,70960.95,-1570.67
ORD100016,2024-03-09,Holly Wood,Accessory,Samsung Charger,International,,Australia,Online,4,99519.79,10,358271.24,282447.12,75824.12
ORD100017,2024-06-13,Derek Zuniga,Phone,iPhone 14,South,Maharashtra,India,Online,5,55838.23,20,223352.92,182885.38,40467.54
ORD100018,2023-03-14,Lisa Jackson,Laptop,HP Pavilion,International,,USA,Online,3,8014.88,5,22842.41,16100.76,6741.65
ORD100019,2024-05-12,Carla Gray,Laptop,Asus Vivobook,South,Gujarat,India,Offline,4,19850.58,0,79402.32,60722.58,18679.74
ORD100020,2023-12-29,Margaret Hawkins DDS,Accessory,Logitech Mouse,West,Gujarat,India,Online,1,40859.51,10,36773.56,32693.66,4079.9
ORD100021,2023-04-22,Patty Perez,Laptop,Asus Vivobook,South,West Bengal,India,Offline,2,28575.97,5,54294.34,46785.81,7508.54
ORD100022,2023-03-19,Ethan Adams,Laptop,Dell Inspiron,North,Delhi,India,Online,2,41234.99,15,70099.48,53888.92,16210.56
ORD100023,2024-02-15,Tommy Walter,Laptop,Asus Vivobook,International,,UK,Offline,3,92725.29,15,236449.49,186742.89,49706.6
ORD100024,2024-05-13,Matthew Foster,Accessory,Logitech Mouse,East,Maharashtra,India,Online,3,6659.36,20,15982.46,14368.18,1614.29
ORD100025,2024-06-27,Judy Baker,Accessory,Logitech Mouse,North,Maharashtra,India,Online,2,40973.78,20,65558.05,54212.72,11345.33
ORD100026,2023-02-10,Justin Baker,Phone,Samsung Galaxy S22,International,,Canada,Offline,3,24629.91,15,62806.27,46751.48,16054.79
ORD100027,2023-11-04,Stephanie Ross,Accessory,Logitech Mouse,North,Delhi,India,Offline,1,54225.81,20,43380.65,36130.66,7249.99
ORD100028,2023-12-24,Zachary Hicks,Phone,Samsung Galaxy S22,International,,UK,Offline,4,83540.75,10,300746.7,251597.82,49148.88
ORD100029,2024-06-25,Anthony Rodriguez,Laptop,Lenovo IdeaPad,East,Gujarat,India,Online,1,89081.56,20,71265.25,56910.82,14354.43
ORD100030,2023-10-16,Rebecca Henderson,Laptop,Lenovo IdeaPad,International,,Singapore,Offline,5,49364.65,0,246823.25,153789.3,93033.95
ORD100031,2024-03-09,James Ferrell,Phone,Samsung Galaxy S22,International,,USA,Online,3,16996.62,15,43341.38,37626.44,5714.94
ORD100032,2024-03-13,Tricia Valencia,Accessory,Logitech Mouse,North,Delhi,India,Online,3,58668.45,5,167205.08,124514.4,42690.68
ORD100033,2023-02-12,Nathan Maldonado,Accessory,JBL Headphones,North,Karnataka,India,Online,1,36014.18,20,28811.34,29568.85,-757.51
ORD100034,2024-02-21,Debra Davidson,Laptop,Dell Inspiron,International,,Singapore,Online,2,88260.2,0,176520.4,113827.44,62692.96
ORD100035,2023-12-07,Jeffrey Chavez,Phone,Samsung Galaxy S22,International,,Canada,Online,1,38871.63,0,38871.63,31666.71,7204.92
ORD100036,2023-08-16,Sherri Baker,Laptop,Dell Inspiron,West,Karnataka,India,Offline,1,66343.29,15,56391.8,45250.47,11141.33
ORD100037,2023-03-13,Cassandra Gaines,Accessory,Apple AirPods,International,,Germany,Offline,5,33783.84,0,168919.2,106222.38,62696.82
ORD100038,2023-09-25,Elizabeth Fowler,Accessory,Apple AirPods,East,Delhi,India,Online,3,73125.96,10,197440.09,155560.52,41879.57
ORD100039,2024-06-07,Brittany Farmer,Accessory,Apple AirPods,South,Karnataka,India,Online,1,52472.11,20,41977.69,40493.48,1484.21
ORD100040,2023-07-21,Paula Moreno,Accessory,Samsung Charger,North,Gujarat,India,Offline,1,72255.67,10,65030.1,52514.02,12516.08
ORD100041,2024-02-23,Fred Smith,Laptop,Asus Vivobook,East,West Bengal,India,Online,4,68054.48,5,258607.02,205219.3,53387.72
ORD100042,2023-11-05,Sherry Decker,Laptop,Asus Vivobook,North,Karnataka,India,Offline,5,61059.5,10,274767.75,218668.43,56099.32
ORD100043,2024-03-28,Anthony Humphrey,Accessory,JBL Headphones,International,,Australia,Offline,1,29094.85,20,23275.88,19894.97,3380.91
ORD100044,2023-08-29,Angelica Tucker,Laptop,HP Pavilion,International,,UK,Online,1,25239.41,15,21453.5,19000.69,2452.8
ORD100045,2023-03-16,Philip Cannon,Phone,Google Pixel 7,South,Gujarat,India,Offline,2,15609.56,0,31219.12,25698.49,5520.63
ORD100046,2023-04-20,John Pierce,Accessory,Apple AirPods,International,,UK,Online,1,56183.17,0,56183.17,40121.27,16061.9
ORD100047,2024-04-20,Shane Henderson,Phone,Google Pixel 7,International,,Australia,Offline,5,45145.45,5,214440.89,177402.17,37038.71
ORD100048,2024-05-01,Joshua Blair,Accessory,Apple AirPods,South,Gujarat,India,Offline,2,28185.15,0,56370.3,43877.86,12492.44
ORD100049,2023-08-29,Eric Carney,Laptop,Dell Inspiron,East,West Bengal,India,Online,2,38920.49,5,73948.93,60451.68,13497.25
ORD100050,2023-03-07,Jessica Holmes,Phone,iPhone 14,East,West Bengal,India,Offline,2,83456.23,15,141875.59,137904.68,3970.91
ORD100051,2023-01-21,Danny Morgan,Phone,iPhone 14,International,,Australia,Offline,3,30562.65,15,77934.76,74575.49,3359.26
ORD100052,2024-03-05,Crystal Robinson,Phone,Google Pixel 7,South,Tamil Nadu,India,Online,4,3873.46,10,13944.46,11887.16,2057.3
ORD100053,2024-02-19,Mark Perez,Accessory,Logitech Mouse,International,,Canada,Online,4,59597.38,0,238389.52,148036.76,90352.76
ORD100054,2024-03-14,Shannon Jones,Phone,Google Pixel 7,West,Maharashtra,India,Online,3,21954.37,10,59276.8,45075.07,14201.72
ORD100055,2024-01-24,Michael Lewis,Phone,iPhone 14,West,Karnataka,India,Online,5,6156.48,10,27704.16,20194.96,7509.2
ORD100056,2023-03-12,Timothy Duncan,Laptop,Dell Inspiron,International,,Singapore,Online,2,84083.66,20,134533.86,107306.82,27227.03
ORD100057,2023-05-10,Richard Aguirre,Phone,OnePlus 11,North,West Bengal,India,Online,3,17611.13,20,42266.71,44429.38,-2162.67
ORD100058,2023-04-28,Brent Jordan,Laptop,HP Pavilion,International,,UK,Offline,3,58003.88,15,147909.89,121662.61,26247.29
ORD100059,2023-07-23,John Daniel,Accessory,Logitech Mouse,South,Delhi,India,Offline,5,78480.9,10,353164.05,287705.61,65458.44
ORD100060,2024-01-15,Victoria Garcia,Phone,iPhone 14,East,Delhi,India,Offline,4,96117.97,15,326801.1,298668.2,28132.9
ORD100061,2024-03-21,Gerald Hensley,Phone,Google Pixel 7,East,West Bengal,India,Offline,5,27571.16,5,130963.01,111343.75,19619.26
ORD100062,2023-03-30,Connor West,Accessory,Apple AirPods,West,Maharashtra,India,Offline,3,3841.3,10,10371.51,7438.22,2933.29
ORD100063,2023-08-06,Donald Wright,Accessory,Samsung Charger,East,Karnataka,India,Offline,5,2004.96,5,9523.56,6229.44,3294.12
ORD100064,2024-02-21,Jessica Callahan,Accessory,Apple AirPods,South,Gujarat,India,Offline,4,79500.35,0,318001.4,214192.67,103808.73
ORD100065,2024-02-19,Amber Kidd,Phone,OnePlus 11,International,,Germany,Offline,4,99666.51,20,318932.83,272168.44,46764.39
ORD100066,2024-04-09,Tracy House,Accessory,JBL Headphones,East,Maharashtra,India,Online,3,12835.92,20,30806.21,32258.7,-1452.49
ORD100067,2023-07-09,Carol Tucker,Laptop,Dell Inspiron,West,Karnataka,India,Offline,3,23520.83,5,67034.37,47669.68,19364.68
ORD100068,2024-06-30,James Brown,Accessory,JBL Headphones,North,Delhi,India,Offline,4,11156.18,0,44624.72,33179.2,11445.52
ORD100069,2024-04-25,William Baker,Phone,Google Pixel 7,East,Maharashtra,India,Online,1,82389.45,15,70031.03,59562.35,10468.68
ORD100070,2023-02-24,Jordan Henderson,Laptop,Asus Vivobook,East,Delhi,India,Online,5,60016.56,20,240066.24,196980.89,43085.35
ORD100071,2024-06-19,Whitney Peters,Phone,iPhone 14,West,Karnataka,India,Offline,5,96050.77,0,480253.85,401923.27,78330.58
ORD100072,2023-08-01,Brittney Phillips,Laptop,Dell Inspiron,International,,Germany,Online,2,55647.23,5,105729.74,66851.12,38878.61
ORD100073,2024-04-06,Lauren Daniels,Laptop,Dell Inspiron,International,,Canada,Offline,3,70988.63,15,181021.01,131569.25,49451.76
ORD100074,2023-08-28,Amy Silva,Phone,iPhone 14,International,,Singapore,Online,5,23256.14,5,110466.66,96176.1,14290.57
ORD100075,2023-05-26,Sarah Moore,Phone,iPhone 14,South,Karnataka,India,Offline,4,69179.12,15,235209.01,231243.4,3965.61
ORD100076,2024-05-27,Angela Lopez,Phone,OnePlus 11,West,Delhi,India,Online,5,25786.42,0,128932.1,84738.19,44193.91
ORD100077,2023-01-22,Megan Young,Accessory,Logitech Mouse,International,,Singapore,Offline,2,47579.58,15,80885.29,78888.68,1996.61
ORD100078,2023-07-05,Steve Sanchez,Laptop,Asus Vivobook,International,,Canada,Offline,3,41426.46,10,111851.44,95388.57,16462.87
ORD100079,2023-06-14,Lisa Barnes,Accessory,Logitech Mouse,West,Karnataka,India,Offline,4,9717.92,10,34984.51,26464.56,8519.96
ORD100080,2024-02-18,Kelly Donovan,Phone,iPhone 14,International,,USA,Offline,2,52325.5,20,83720.8,82581.23,1139.57
ORD100081,2024-03-28,Mike Allen,Accessory,JBL Headphones,International,,UK,Offline,3,44373.49,15,113152.4,83913.36,29239.04
ORD100082,2023-09-03,Michael Evans,Accessory,Apple AirPods,International,,Germany,Online,1,23245.37,0,23245.37,16628.85,6616.52
ORD100083,2023-05-01,Paul Jones,Accessory,Samsung Charger,International,,UK,Offline,5,70835.75,15,301051.94,286417.62,14634.32
ORD100084,2024-04-28,Zachary Ferrell,Accessory,JBL Headphones,South,Tamil Nadu,India,Online,1,28348.49,15,24096.22,19417.83,4678.39
ORD100085,2024-06-03,Daniel Baker,Accessory,Apple AirPods,North,Karnataka,India,Offline,2,45208.19,15,76853.92,62051.04,14802.88
ORD100086,2024-01-22,Shirley Suarez,Accessory,Apple AirPods,East,Maharashtra,India,Online,2,85745.28,15,145766.98,104765.61,41001.37
ORD100087,2024-04-29,Christopher Bass,Accessory,JBL Headphones,International,,Canada,Offline,4,96517.62,5,366766.96,280122.23,86644.72
ORD100088,2023-12-06,Lisa Archer,Accessory,Apple AirPods,International,,Canada,Online,1,72521.94,15,61643.65,59303.6,2340.05
ORD100089,2023-06-08,Aimee Montoya,Accessory,Logitech Mouse,East,Karnataka,India,Offline,3,85381.79,20,204916.3,178021.63,26894.66
ORD100090,2023-11-21,Matthew Mcmillan,Accessory,Logitech Mouse,International,,Canada,Online,2,63484.94,10,114272.89,107842.69,6430.2
ORD100091,2023-04-03,Brian Rodriguez,Phone,Samsung Galaxy S22,North,Gujarat,India,Online,3,90438.98,0,271316.94,184792.25,86524.69
ORD100092,2023-02-27,Denise Jacobs,Laptop,Asus Vivobook,East,Tamil Nadu,India,Online,5,68498.24,5,325366.64,220049.2,105317.44
ORD100093,2023-03-22,Christina Walters,Phone,Samsung Galaxy S22,International,,Canada,Online,2,46653.84,10,83976.91,66704.97,17271.94
ORD100094,2023-01-10,John Whitehead,Accessory,JBL Headphones,International,,Canada,Offline,1,44731.25,10,40258.12,37883.47,2374.65
ORD100095,2023-11-03,Anna Henderson,Phone,OnePlus 11,International,,Canada,Offline,2,99937.98,15,169894.57,125254.93,44639.63
ORD100096,2024-01-26,Aaron Wise,Laptop,Asus Vivobook,East,Gujarat,India,Offline,3,1801.7,0,5405.1,4473.55,931.55
ORD100097,2024-05-23,Deborah Figueroa,Accessory,Samsung Charger,International,,Germany,Online,2,64025.17,20,102440.27,84853.42,17586.86
ORD100098,2023-05-21,Jessica Smith,Phone,Google Pixel 7,International,,Singapore,Online,1,58377.81,5,55458.92,36342.13,19116.79
ORD100099,2023-10-30,Stephen Mckee,Laptop,Lenovo IdeaPad,West,Maharashtra,India,Online,5,50677.68,10,228049.56,204641.07,23408.49
ORD100100,2023-09-21,Sandra Aguilar,Accessory,Samsung Charger,International,,Canada,Offline,1,47364.81,0,47364.81,30085.62,17279.19
ORD100101,2023-08-20,Cameron Parker,Accessory,Samsung Charger,International,,Singapore,Offline,1,79277.51,0,79277.51,52807.91,26469.6
ORD100102,2023-05-07,Rebecca Valencia,Accessory,Samsung Charger,East,West Bengal,India,Offline,1,67808.82,15,57637.5,41109.51,16527.98
ORD100103,2023-12-02,Christine Wright,Accessory,Apple AirPods,International,,UK,Online,3,65274.71,0,195824.13,124337.41,71486.72
ORD100104,2023-02-08,Richard Henson,Laptop,Dell Inspiron,West,Delhi,India,Online,4,45910.73,20,146914.34,129428.17,17486.17
ORD100105,2023-06-08,Marc Moore,Phone,Google Pixel 7,International,,Singapore,Online,3,4238.91,10,11445.06,8320.78,3124.28
ORD100106,2024-03-31,Sharon Cherry,Accessory,Samsung Charger,International,,Germany,Online,5,90267.93,10,406205.68,277635.95,128569.73
ORD100107,2023-10-10,Sierra Johnson,Accessory,JBL Headphones,North,Tamil Nadu,India,Online,5,97138.24,0,485691.2,386949.52,98741.68
ORD100108,2023-09-07,Evelyn Galvan,Laptop,Dell Inspiron,International,,Australia,Online,5,22379.18,5,106301.1,76328.66,29972.45
ORD100109,2023-06-01,Sharon Cochran,Phone,Samsung Galaxy S22,International,,Australia,Online,2,54481.33,5,103514.53,68372.06,35142.46
ORD100110,2023-01-27,Richard Rodriguez,Laptop,Dell Inspiron,East,Maharashtra,India,Offline,3,6187.5,15,15778.12,13578.87,2199.26
ORD100111,2023-03-07,Shannon Walker,Phone,Samsung Galaxy S22,East,West Bengal,India,Online,5,5293.14,20,21172.56,17875.13,3297.43
ORD100112,2023-02-01,Julia Torres,Accessory,Logitech Mouse,West,Tamil Nadu,India,Offline,4,71527.73,15,243194.28,176923.18,66271.11
ORD100113,2023-03-24,Crystal Johnson,Phone,OnePlus 11,South,Delhi,India,Online,4,99468.15,20,318298.08,268056.49,50241.59
ORD100114,2024-06-01,Garrett Lin,Accessory,JBL Headphones,International,,USA,Online,4,45703.94,5,173674.97,128602.37,45072.61
ORD100115,2024-04-09,Diana May,Phone,OnePlus 11,North,Karnataka,India,Offline,3,95405.66,15,243284.43,176533.86,66750.57
ORD100116,2023-03-29,William Herrera,Laptop,HP Pavilion,North,Gujarat,India,Offline,5,95705.84,20,382823.36,326553.83,56269.53
ORD100117,2023-05-06,Ashley Waller,Phone,OnePlus 11,West,Gujarat,India,Online,3,11256.46,20,27015.5,22057.64,4957.86
ORD100118,2024-05-08,Victor Baker,Laptop,Lenovo IdeaPad,North,Karnataka,India,Offline,5,23389.75,15,99406.44,94879.21,4527.23
ORD100119,2023-01-27,Jeffrey Chandler,Laptop,Dell Inspiron,International,,Singapore,Offline,3,70567.18,10,190531.39,175793.65,14737.73
ORD100120,2023-12-26,Larry Dixon,Laptop,Dell Inspiron,South,West Bengal,India,Offline,1,10084.01,20,8067.21,6592.76,1474.45
ORD100121,2024-03-05,Kenneth Scott,Accessory,Samsung Charger,South,Karnataka,India,Offline,5,60026.15,0,300130.75,191752.03,108378.72
ORD100122,2023-02-20,April Frost,Accessory,Apple AirPods,International,,Germany,Offline,4,61100.52,15,207741.77,163331.88,44409.88
